#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,1.0,181.237,35391.43
0.0,1.0,1.0,1.0,9.603,35401.03
1.0,1.0,0.0,1.0,2.096,35403.13
0.0,1.0,0.0,1.0,18.02,35421.15
1.0,1.0,0.0,1.0,11.691,35432.84
0.0,0.0,0.0,1.0,17.947,35450.785
1.0,0.0,0.0,1.0,11.466,35462.25
1.0,1.0,1.0,1.0,9.536,35471.785
0.0,1.0,0.0,1.0,8.304,35480.09
1.0,1.0,0.0,1.0,11.505,35491.594
0.0,0.0,0.0,1.0,18.056,35509.65
0.0,1.0,1.0,1.0,9.671,35519.32
1.0,1.0,0.0,1.0,2.117,35521.438
0.0,1.0,0.0,1.0,18.191,35539.63
1.0,1.0,0.0,1.0,11.797,35551.426
0.0,0.0,0.0,1.0,18.158,35569.582
1.0,0.0,0.0,1.0,11.6,35581.184
1.0,1.0,1.0,1.0,9.661,35590.844
0.0,1.0,0.0,1.0,8.442,35599.285
1.0,1.0,0.0,1.0,11.718,35611.004
0.0,0.0,0.0,1.0,18.378,35629.383
0.0,1.0,1.0,1.0,9.839,35639.223
1.0,1.0,0.0,1.0,2.155,35641.38
0.0,1.0,0.0,1.0,18.425,35659.805
1.0,1.0,0.0,1.0,11.914,35671.72
0.0,0.0,0.0,1.0,18.39,35690.11
1.0,0.0,0.0,1.0,11.776,35701.887
1.0,1.0,1.0,1.0,9.78,35711.668
0.0,1.0,0.0,1.0,8.443,35720.11
1.0,1.0,0.0,1.0,11.708,35731.816
0.0,0.0,0.0,1.0,18.302,35750.117
0.0,1.0,1.0,1.0,9.701,35759.816
1.0,1.0,0.0,1.0,2.116,35761.934
0.0,1.0,0.0,1.0,18.246,35780.18
1.0,1.0,0.0,1.0,11.849,35792.027
0.0,0.0,0.0,1.0,18.251,35810.277
1.0,0.0,0.0,1.0,11.647,35821.926
1.0,1.0,1.0,1.0,9.693,35831.617
0.0,1.0,0.0,1.0,8.488,35840.105
1.0,1.0,0.0,1.0,11.815,35851.92
0.0,0.0,0.0,1.0,18.598,35870.52
0.0,1.0,1.0,1.0,10.034,35880.555
1.0,1.0,0.0,1.0,2.214,35882.77
